Mixture,Mac_CD163,Neu_CD16b,Mac_IL1B,Mono_CCNL1,Mono_IFI30,pDC_LILRA4,Mono_JUN,Neu_CD66b,cDC_CD1C,Mac_CD74_CD49d,Mac_LY6E,Mono_PLBD1,Mono_VCAN,Mono_S100A10,Mono_CYP11B1,Mono_APOC1,Mono_MPO,pDC_JCHAIN,Mac_CD74_MT1X,Mac_TLR4,CD8T_FGFBP2,CD8T_MKI67,CD4T_MAL,CD4T_LTB,CD8T_CD160,CD8T_CD226,gdT_TRGC1_TRDC,CD8T_LEF1,CD8T_LYAR,CD4T_FOXP3,CD8T_IFIT3,CD4T_SF1,CD8T_TYMS,CD8T_CCL5,MAIT_SLC4A10,CD8T_CXCR4,CD4T_ANXA1,CD8T_HAVCR2,CD4T_CD52,CD8T_CD16,NK_NKTR,NK_CD56,NK_ITGB1,NK_GZMH,NK_PRF1,NK_CCL3,NK_IKZF2,NK_CD16,NK_PDCD4,NK_MT1X,NK_IFNG,NK_ADGRG1,NK_CREM,NK_IFI6,NK_HLADRA,B_IgM_IgD_TCL1A,B_IgM_IgD_FOXP1,B_CD24_TXNIP,B_IgM_IgD_CD69,Plasma_IgA_IgG_SDC1,B_CD11c_HLADR,B_CD11b_ANXA2,B_IgM_IgD_FCRL1,B_IgM_IgD_CD24_CD1c,Plasma_IgM_IgA_CD27,B_CD24_IER2,Plasma_IgA_IgG_MKI67,Plasma_IgA_IgG_CD27,Plasma_IgA_IgG_IGLC1,B_CD34,Plasma_IgM_IgA_IgG,P-value,Correlation,RMSE
BA2872,0,0.00928274144118067,0,0.000723676930579135,0,0.0181021440373619,0.111783468677604,0,0.0709717537482528,0,0.0917466834486989,0,0.0794325410489422,0,0.00901162481653914,0.0332074769467525,0.129113694601495,0,0.0203906753336346,0,0,0.0252710594601046,0,0,0,0,0.0237012449866077,0.00358972863562692,0,0,0.00960950018157261,0.0401969196264338,0.0182177543641747,0,0,0.0292656270488951,0,0,0.00395686246808164,0.0182287763301269,0.012859987890489,0,0.0130730204024709,0.0719338017208628,0.0421388549213318,0,0.0333429677872493,0,0.0206043657786177,0,0,0,0.00828611985422836,0,0,0.0184392530261261,0,0.0128601265708247,0.00387856965765722,0,0.00217159661890795,1.27565839073848e-05,0,0.000178595522736297,0.00225366674768049,0,0.00679528260552744,0,0,0,0.00536708017871766,0,0.502043007532856,0.868488682449382
BA2639,0,0,0,0.00835504340897026,0,0.0522035720487257,0.114904523129538,0,0.0421531908487058,0,0.0479114442168819,0,0,0.0452722929743591,0.0608754681786751,0.0107980416997891,0.0470819762792609,0,0.023907055998889,0.00806567877460197,0,0.0225241134201212,0,0.0242276943380037,0.00338740374364891,0,0.0155450682804984,0.0121150294197621,0,0,0,0.00637179352798491,0.0244821374890237,0,0.0018989502700276,0,0,0.0130411125085441,0.0130190935831157,0.00864000648116678,0,0,0.0201082649723827,0,0.0440003906569557,0,0,0,0.0196745146595915,0,0.0593330654139066,0.0224885559648576,0,0.0304142703941322,0.00742951971420266,0,0,0.0381701968233199,0.0726109427885868,0,0.022866532039272,0,0,0,0.012628958663174,0,0.00812910741442803,0,0.00323758862014953,0.010956400354703,0.0211710009000435,0.013,0.165980491193008,1.0456525769368
BA2235,0.0193839070508858,0.00262977775585787,0,0.0312959195511006,0,0.0628854765062393,0.0442371471427284,0,0.235209097969204,0,0.0323087698752561,0,0,0.0457069469872767,0.0387648417818468,0.00920690912326764,0.0364398324691973,0,0.0451177972439222,0.0117989298374808,0,0.00446054652786892,0.00252174395975152,0.0299089517317953,0.00279924031816154,0,0.011971726613743,0,0,0,0,0,0.00357218604583027,0.00179886635419129,0.0025975736563754,0,0,0.0163469625743596,0,0.0275150481372663,0,0,0.0251908346278734,0.00813821541810403,0.0244479719883997,0,0.01041078597848,0,0,0,0.00469855329435867,0.0566648152853215,0,0,0.00967824297618722,0.0503511801747692,0.00464515378072496,0,5.946228128959e-05,0,0.00839677983076902,0,0,0.00247109907575135,0.0214661225486617,0.0135648396103167,0.00846796982569535,0,0,0,0.0328697740896908,0,0.642012547321801,0.771800447165979
BA2442,2.11722782845817e-05,0,0,0.0203675227504847,0,0.134231063958332,0.074944656643678,0,0.13476719908409,0,0.00271746649232276,0,0.0159482491679571,0,0.0237683793082897,0.0176271534368461,0.0260909553095484,0,0.0147911347263209,0.0260719188302448,0,0.0764678247752339,0,0.0323827966457091,0,0.00851812158787011,0.00225031590780975,0,0,0,0,0.00069725633658449,0,0,0,0,0,0.0158501319047127,0.00216027786759305,0.0241767832544379,0,0,0.0295425400580596,0,0.00362533610431392,0.00276562284826305,0.010767078451256,0,0.00285290540657041,0,0.027934217750415,0.0512340362135147,0.0263275437554426,0.0157895149718478,0,0,0.00251495522874748,0.0189501926545073,0.029451334959318,0,0.0169917907439744,0,0,0,0.0240098443270378,0.0200419131115759,0.0107284716966369,0,0,0.016179836051448,0.0364424854007214,0.001,0.415553360428737,0.910928375298253
BA2952,0.00964241294243027,0,0,0.0922269530218108,0,0.0455415956659779,0.010645115770329,0,0.0745228546643981,0,0.0714423945323772,0,0,0,0.00611374606759735,0.0117713200318718,0.309446744242288,0,0.03376069936323,0.0306424760435848,0,0.0331362910780772,0.00501988832516488,0.00444094660034586,0.000879560346792517,0.0080029064012068,0.00555466761022383,0,0.0167421267664976,0,0,0,0.00463178866873118,0,0.00354185394803223,6.295768159132e-05,0,0.0085848365482199,0,0,0,0,0.0191134569343908,0.000998424758014054,0.0285321302223168,0,0,0,0.0228021954968957,0,0.00995498508980633,0.0181956788172996,0.00941195597897203,0,0.00168568106142625,0.00161061422700478,0,0.0330069267984141,0.0288946868138475,0,0.00157625899221705,0,0,0,0.00739739463858017,0,0.0124522985307302,0,0,0,0.0180131753193066,0.001,0.462899195744616,0.915930313676577
BA2951,0,0,0,0.0962873691309929,0,0.0884374362864468,0.093027074767894,0,0.0481208865732333,0,0.0764415826414289,0,0,0,0.0238947488803685,0.0270766548181409,0.0308959125011611,0,0.0188411152571974,0.0190245923330656,0.00147980834360738,0,0,0,0.0181180741463381,0,0.00939914945099079,0.00784453512230107,0,0,0,0.0147567306789159,0.0516286110469943,0,0.00782724779785134,0,0,0.0222805526799729,0.0187603204881267,0.0159048510697559,0,0,0,0,0.0431339615144366,0,0.0173268302494622,0,0.0109187609596303,0,0.0425838458415844,0.0252079666903858,0,0.00139781954501056,0.00992754030325336,0.000960229950787525,0.0176154579020779,0,0.0579306375544886,0,0.0141220560247335,0,0,0,0.00787260696399415,0.0188609384552054,0.0206857028238325,0,0.00027393190903506,0.00553547953351304,0.0155989797637851,0.001,0.479389393188758,0.877577776721653
BA2704,0,0.0169463214744493,0,0.0141361499907532,0,0.1203322270786,0.0548308575620715,0,0,0.00498003953679192,0.00326540406661106,0,0,0.0691743415680968,0.0429583340310127,0.00426439670352273,0.0199188821661929,0,0.0117725120635118,0,0,0.0419527749016758,0,0.045352810046199,0.010632384418547,0,0.0279067728714585,0.0137125561486794,0,0,0,0.00039880591604135,0.0401699401144721,0,0,0,0,0.0142362351717547,0.0329970934828703,0,0,0,0.0160726591752708,0,0.0530496827775397,0,0.0135731021325422,0,0.0204554511457007,0,0.0894786767217035,0.0363716252389739,0,0.0290388000819217,0,0,0,0,0.0130020846793931,0.0103312286912388,0.00725889055138199,0,0.02576293875767,0,0.00298515058044877,0.0334619500785575,0.0264042432154247,0,0,0.0328146768589206,0,0.045,0.0894900710331796,1.0576594390644
BA2425,0,0.00154576760067372,0,0.0216596751877723,0,0.0399001009722125,0.123086449318993,0,0.0343101829524567,0,0.0598624709637358,0,0.016998184546418,0.00182929931516671,0.0440914666959793,0.0337061554537743,0.0595713804395406,0,0.0236083572187458,0.00731569878338862,0.0134780299628619,0.027194199383532,0,0.0224961957956982,0.00117176777341137,0,0.00574879580944436,0,0,0,0,0.0176381069139451,0.0126743033027186,0,0,0.000282761759605699,0,0.0147806382027219,0,0.00209364849679288,0,0,0.0183843832049994,0,0.0221881651282778,0,0,0,0,0,0.0796063545257205,0.0409676643945107,0.0331524535318494,0.0158895647666578,0,0,0,0.0390787116448374,0.102832983584281,0,0.0106415172480778,0,0.0105693204723975,0,0.00579212351708575,0,0.011972230857473,0,0,0,0.0238808902742424,0.001,0.404438151917078,0.922162786412662
BA2497,0,0,0,0.124086010045087,0,0,0.067099051568334,0,0.00760441547935782,0,0.0807921263596614,0,0,0.0115530835778517,0,0.0217092023158955,0.258527038758596,0.00124065054511591,0.0574492833298176,0.036507562543821,0.0225011828725417,0.00732568177298808,0,0.0147253359329986,9.7201662955077e-05,0,0.0198949976332098,0,0,0,0,0.0038027061184335,0.00156883900777621,0,0,0.019342170757729,0,0.00425330714933365,0.00187464663720044,0,0,0,0.0201333760160384,0.0423119735392621,0.049518099922429,0,0,0,0.0366028888633733,0,0.0362924249275447,0,0,0,0,0.0185661883152998,0,0.00827224595619881,0,0,0.00440355031725068,0,0,0.0131037415398832,0.001676282660457,0,0,0.00350522795591285,0.000430969654640498,0,0.00322853626300642,0.001,0.4757611482344,0.904375375139566
BA2906,0,0,0,0.0278976198342346,0,0.172923648706191,0,0,0.0130544678244079,0,0.00134589689247363,0,0,0.0416309689205006,0.0540881581299225,0.00346655628668355,0.0252120476719145,0,0.0133136982562071,0.0032497702820053,0,0.0704001173685647,0,0.0438069695689144,0,7.84282087315938e-05,0.0178863599592108,0.00487168620518822,0,0,0.0111486439187597,0.018902544507444,0.0205255120941535,0.00575235282799368,0.003066847827583,0,0,0.0127542295519928,0.00962263538051447,0,0,0,0.0309602958563933,0,0.0313633446296542,0,0,0,0.0152372012288565,0,0.0470117202004421,0.0587472695508615,0.0120710092284093,0,0,0,0,0.031250013183093,0.0767581387719682,0,0.0143103636448104,0,0,0,0.0307177902058693,0,0.0254515152302419,0,0.00151715254246311,0.0186543544748554,0.0309506710284907,0.004,0.316968495011628,0.958502922575923
